Feature	ALog2TPM+1	BLog2TPM+1
MIR6738	8.800468536	8.565419468
GABARAPL2	9.145167939	8.563323404
MIR147B	11.33897774	8.561606175
TPI1	8.272396509	8.561287945
IGFLR1	6.919657892	8.55810178
MIR6805	8.170759653	8.556697635
IL10RB	8.13733274	8.555356039
ATP6AP1	8.891074837	8.555356039
SRP14	8.658568541	8.553309299
RAC2	9.531251482	8.549720504
TMED10	8.730526746	8.547794256
EIF3A	8.503693253	8.547023037
RNASET2	6.62058641	8.545028809
ERP29	7.618630213	8.544191698
LAP3	9.394891366	8.536959482
SF3B5	8.253611152	8.536311982
FIS1	8.999906071	8.530731451
NDUFB10	8.208803357	8.528388991
PPT1	8.972596931	8.525390302
HEXB	9.10433666	8.521927544
OLFML3	5.688366886	8.520553206
LOC107984340	8.997273587	8.518849829
RPS14	8.513464426	8.515568439
MIR632	8.653203362	8.512806293
H3F3A	8.293088412	8.511620895
RPS27	7.748863715	8.510434522
ASAH1	9.367778746	8.50918118
KDELR1	8.400594853	8.50891718
NDUFB1	8.736289172	8.507266084
ERH	8.805851331	8.506406766
PRDX2	7.808856947	8.500576349
MYL12B	8.660233647	8.499447297
MIR3917	6.863773297	8.498649788
CS	8.29339501	8.498583309
MIR636	7.095221181	8.49765228
NCKAP1L	8.010667963	8.490449794
LY86	8.118941073	8.484017257
ATP6V1G1	8.73470962	8.483748611
RTCB	8.231541211	8.482673527
DEF6	5.975752454	8.480520954
POLR2G	8.001877287	8.478567406
HSPA9	9.38420814	8.476206147
HSP90AA1	8.98479819	8.475530791
MIR6850	8.232021123	8.475463238
UQCRHL	8.192128395	8.473773385
TUBB4B	8.441975847	8.472352377
MIR6858	8.872931337	8.469573988
CCNI	7.993032719	8.465362332
ARF4	8.858809892	8.460455896
UQCRFS1	8.12498288	8.460114551
SERF2-C15ORF63	8.995672946	8.45847497
ANP32A	8.155492896	8.456491319
MIR6787	7.318919345	8.456491319
NDUFS6	8.409815196	8.454916138
LOC100129083	7.496654083	8.454847612
MIR7114	7.219813877	8.449492595
NCF1B	7.765092676	8.441145917
PYCARD	7.214319121	8.435045131
LINC01235	3.432959407	8.434975656
S100A10	9.423396086	8.433654984
C1QBP	7.866454696	8.431915413
SLC25A3	8.151101127	8.428499759
RPS28	8.003002488	8.426124952
IRF8	7.520160298	8.421503843
ARHGDIB	7.963666779	8.41806342
MYL12A	8.460660665	8.40917876
C14orf166	8.517931792	8.400025518
AP1B1	7.042936115	8.396176618
MMADHC	7.977661538	8.39210272
NEDD8-MDP1	8.813781191	8.389452089
H1FX	7.156167368	8.389380383
TXNIP	7.652486495	8.387801942
BCL2L2-PABPN1	7.710806434	8.384567923
MIR638	7.016065396	8.37771665
FUCA1	7.911292109	8.375691104
EBP	6.906088876	8.366977836
SNORA61	8.017365205	8.363769739
SNHG12	7.40627588	8.356672044
DNAJB11	7.400310214	8.353293882
EVI2B	8.282470695	8.353220355
SDHB	8.839098785	8.350128865
SASH3	7.233300108	8.34990779
MYDGF	8.057811262	8.348137974
MAN2B1	7.300733873	8.348064185
SCPEP1	8.322228625	8.345627012
TMEM14C	8.374025133	8.343851933
MIR6781	8.492120237	8.342148764
TIMP1	8.456285958	8.339181934
JTB	7.993410191	8.33233498
EIF3E	7.776103988	8.33233498
RPL39	8.122914252	8.32852534
CCL2	11.00599874	8.326878855
RPS3	7.942514505	8.325080544
KRTCAP2	8.712068383	8.319521597
YWHAQ	8.722693705	8.31854281
TUBA1A	8.083745237	8.317864798
EIF4G2	8.56414949	8.305985716
HNRNPA0	7.69464808	8.305301776
IER2	6.38830436	8.302029581
LDHB	7.690463657	8.299055344
RN7SL2	7.299818554	8.297833368
MIR6759	9.056998908	8.297451289
ATP5I	8.174426394	8.295462841
YBX1	8.437266585	8.293931399
UBL5	8.362089936	8.292628393
MTPN	8.696851642	8.290940402
LUZP6	8.696388014	8.290556492
GNAI2	7.592955291	8.28732761
ST14	7.229139254	8.286788759
SSR2	8.188176706	8.283860054
PPP6R1	7.167919866	8.283628587
PSMD8	8.786814144	8.278759182
AP2M1	8.289557848	8.278372017
DNAJC8	8.237289643	8.278139668
RAC1	8.083922484	8.276822315
MIR4800	7.183552679	8.269282553
VAT1	10.35604841	8.26873692
MSN	7.807998839	8.267879078
OGFR	7.437127844	8.267098779
MIR4751	9.091082714	8.264755346
TLR7	7.272707535	8.264520793
ID3	4.968090752	8.263973355
EID1	7.790945762	8.263034406
PRPF19	7.592955291	8.262956132
PSMD3	7.949923957	8.261703181
GPX4	9.077082738	8.256601847
MIR6894	7.105384749	8.255343363
MIR6848	7.053111336	8.251166774
HLA-B	9.364134655	8.249982522
RN7SL1	7.372139541	8.248560136
CD9	9.225609134	8.247373741
ALDOA	8.41334585	8.242538994
TTYH3	6.613728085	8.23760833
TGFB1	7.5293004	8.236970886
LOC107984834	5.922039232	8.226492474
RGS1	8.470184337	8.225207437
CAPG	9.242856524	8.224001674
HNRNPUL2-BSCL2	7.889149013	8.221264875
RPS3A	7.892391026	8.220700772
M6PR	8.285556345	8.220458945
MIR6513	9.209534596	8.2135093
PREX1	6.533978572	8.211969388
SNHG6	8.435461914	8.204571144
PDIA3P1	7.544062869	8.203184839
RGS10	6.971543554	8.202531999
MIR6889	8.345774837	8.201960521
MIR639	8.115650608	8.194346473
ETV5	7.065730266	8.193114629
SEPW1	7.603626345	8.192785959
MIR6880	6.875288598	8.192457215
SPCS1	8.417149276	8.191470532
CX3CR1	1.502500341	8.191470532
GRINA	8.461070114	8.185371029
PSMC4	7.131342539	8.183635381
EFHD2	7.384280104	8.18231158
IDH2	6.341630009	8.181069412
LOC101929516	8.143128073	8.179328579
MIR3655	8.075033392	8.177834762
GDI2	8.025877797	8.172177453
MIR6882	6.758889433	8.168672118
GAS5	8.004688646	8.166079373
SPI1	7.790728603	8.165828215
PLD4	1.502500341	8.165660751
CLEC11A	5.42738269	8.160039473
CD63	9.085074053	8.159787261
TMEM109	7.707819249	8.159703181
FAM50A	8.516881891	8.158188893
APRT	7.548436625	8.157010015
MIR6885	7.677132345	8.155324229
PPP2CA	8.133570375	8.155071191
PPM1G	7.622051819	8.153214223
PSMD7	8.409815196	8.144913113
IQGAP1	7.680886921	8.13733274
PSMA2	8.29186137	8.137076527
LSP1	6.396890153	8.136905692
LOC101927051	6.377933505	8.13553829
C12orf75	5.348137974	8.133570375
FKBP1A	7.598424761	8.131256784
LAMP1	9.215856528	8.129368889
ARL6IP1	8.189330401	8.129368889
PRR13	7.73854268	8.127908367
RBX1	8.174925683	8.124035127
IL1B	7.389452089	8.122310343
CALM1	7.845490051	8.112700133
PGD	8.964437141	8.11226573
MIR3656	8.775116404	8.112005026
MIR6857	6.448460501	8.109656563
MIR7107	6.362820526	8.105559357
EIF4EBP1	8.361651405	8.1048608
SEPHS2	8.560714954	8.10433666
DDX17	7.392317423	8.103375242
WDR1	7.866660751	8.102150692
ACTR1A	8.134084003	8.100925101
TAF10	7.58220472	8.100399529
SLC35A4	7.093461582	8.098207583
MANF	7.164236529	8.095221181
RNASEK	8.418555411	8.09117089
ARHGAP4	6.101538026	8.088258226
SYNGR2	7.61176256	8.088081512
IFITM3	7.66106548	8.083124704
NUDT3	6.955746762	8.081527821
SSU72	8.139039668	8.080995134
UBB	8.164906927	8.079573672
SNRPB	7.504620392	8.078150808
CEBPD	4.618630213	8.075568285
HSPA4	8.000187839	8.075300863
EEF1B2	7.904082624	8.074676686
MIR6868	7.564276538	8.072713228
UQCR11	8.051118288	8.071909225
NUCB1-AS1	8.561733447	8.070031472
MIR6862-1	8.282007278	8.069405011
ZYX	7.528779665	8.066627409
ATP6V1A	8.56414949	8.06653772
IGFBP4	5.816770349	8.063035486
HNRNPUL2	7.700670901	8.062855655
NDUFS5	8.378511623	8.062765731
DUSP1	6.154480597	8.062136107
SPCS3	7.344295908	8.061236166
HSP90AB1	8.233939175	8.060065403
CDC42	7.965399515	8.059975305
ARL8B	8.48703608	8.059434598
PARP1	7.190153904	8.059164169
MIR3615	5.550490283	8.057991723
SRGN	7.693254621	8.053835399
CAPZA1	7.785724906	8.053382903
ATP6V1B2	8.728374061	8.048668505
ARPC2	7.779609932	8.04839605
MIR4685	7.944077555	8.046942087
PPP1CA	7.656067274	8.046487422
LASP1	7.703211467	8.044029756
ECHS1	8.416727168	8.043574173
NME2	8.210103082	8.0433919
ASNA1	8.039467438	8.043027284
NORAD	8.314545482	8.038736127
MIR6741	7.976516391	8.038278869
NDUFA4	7.710806434	8.038278869
MIR1292	7.300733873	8.038187399
FUCA2	7.709658248	8.027721733
MRPL41	7.16020759	8.026984441
EIF3K	7.888134388	8.026615654
HEXA	7.487304114	8.025416445
RAD21	7.727012814	8.023015031
APOC1	10.07663748	8.021905337
BLOC1S1-RDH5	7.826548487	8.020702204
RAB10	8.837312556	8.015043296
SUMO2	8.18404882	8.01346226
SF3B6	8.197708158	8.011040849
MIR6821	7.911691582	8.010481484
RPL7	7.589713559	8.006653342
MIR223	5.028274454	8.00337736
HSPD1	7.677367292	7.996708858
RHOG	7.393175914	7.993410191
PYURF	7.694415931	7.988968654
PIGY	7.693719257	7.988021879
MIR4680	7.839623726	7.98669535
GPAA1	7.309248961	7.981186699
ARPC4	7.696735749	7.97994911
PABPN1	7.169925001	7.978424465
RAP2A	7.885289637	7.976611854
CHKB	6.53812425	7.975847968
CD14	9.416867884	7.963377787
PCBP2-OT1	7.672425342	7.962606859
CCDC69	7.48864354	7.962606859
CANX	7.445428759	7.961931959
DDX5	7.711494907	7.961449694
NT5DC2	4.548436625	7.960098495
ZFP36L1	6.594449022	7.957682486
MIR1228	9.109917692	7.957585762
EIF4B	7.637107855	7.950312876
E2F4	7.174592842	7.949632199
CALM2	8.151439431	7.947393425
QSOX1	7.047669251	7.946808825
CREBL2	8.610286657	7.946711368
CAPZA2	8.114609953	7.945443836
EIF3D	7.806281089	7.944858446
MIR6895	6.682292371	7.942709979
LAMTOR5	8.728260673	7.942416758
SH3BGRL	8.397460726	7.941634545
GSTM2	5.177917792	7.941438925
RHOA	7.818475662	7.940851907
ICAM1	8.36018867	7.939089418
RPS24	7.648417506	7.93879546
LINC01420	7.642894072	7.93879546
LSM10	7.473570469	7.93565618
RBBP7	6.656305677	7.92491145
RPS29	7.668175869	7.924812504
NDUFS3	8.35520425	7.924614589
MIR142	6.211401637	7.92273305
GTF2IP4	7.298597225	7.921245889
MRC1	6.75533271	7.919757193
RABAC1	8.452584453	7.916974177
ARAP1	7.48489001	7.916874684
FPR1	5.665809631	7.912390393
RPS27L	8.84245511	7.911292109
MRPL12	7.337175869	7.911292109
EFCAB14	7.359310317	7.908892949
SCAMP2	7.333006227	7.9084927
ACAT2	7.378511623	7.906690207
SNORA44	6.17990909	7.906590003
ARF6	7.649375948	7.90438374
DAB2	8.1275645	7.900061733
LOC101926943	7.13784503	7.899860394
MICAL1	6.808213414	7.898248669
ARF3	6.909293086	7.897744635
RAB11B	7.445980459	7.88864179
DDRGK1	7.828242289	7.888438851
C6orf62	7.672425342	7.88396695
SSNA1	7.670538232	7.882031608
NDUFA12	7.373590215	7.881929676
EMP3	8.38600616	7.87958325
DYNLL1	8.057811262	7.87897051
FADS2	5.965784285	7.87682387
COX6C	7.987737726	7.875595783
IFITM2	7.9522559	7.875186189
IL10RA	6.871597266	7.868616808
DUSP3	7.532161085	7.868411032
CDC37	7.832890014	7.862534046
HSPE1	8.182559886	7.861810657
MLF2	7.297069108	7.860052345
PPIA	7.897442131	7.859948848
PARK7	7.769727668	7.854868383
MIR6774	6.68603356	7.8475794
LPL	9.41602338	7.847057346
POLR2L	8.059975305	7.841826394
LRRC59	8.061776198	7.840463234
PA2G4	7.407975835	7.838363546
RGS16	6.14839184	7.838363546
MIR7703	8.576295376	7.83299547
RPS10	7.853621456	7.830145441
TMIGD3	7.277984747	7.829194179
POMP	8.780375722	7.828559655
RAB4B-EGLN2	7.499845887	7.827501495
LAMTOR2	7.81996616	7.825912799
LOC100129034	7.757112167	7.824428435
ATP6V0B	8.025877797	7.820178962
MRPS7	7.564784619	7.816557043
ADORA3	5.422905743	7.815916936
PTMS	7.897038692	7.814849459
CTSB	9.457380879	7.814315424
MAP1LC3B	8.356672044	7.812926007
P2RY11	6.259272487	7.807032856
MIR5010	8.07592477	7.805851331
HSBP1	7.152791852	7.805313955
SLC31A1	8.040563711	7.804131021
MIR6791	7.371268436	7.804023434
COX4I1	7.834154981	7.803700623
GTF2IP1	7.175258446	7.80176224
GPNMB	10.07890688	7.801331134
C19orf53	8.004875875	7.8008999
LINC00493	7.87200788	7.799281622
MRPS15	7.644096619	7.799065714
TMED2	7.869542437	7.798093729
LOC102723566	7.05202456	7.796472298
RPL27A	7.532161085	7.793223959
PSMB6	8.172094092	7.792356499
VTI1B	8.640485968	7.790294188
CKLF-CMTM1	6.122396631	7.789750984
PPIF	7.586964854	7.789642318
CHMP4A	7.909693112	7.788881432
SNORA67	7.174592842	7.78844646
PLEKHO2	8.236492618	7.786596362
MIR6782	6.856321771	7.785942819
MRPS24	7.270840371	7.785724906
LOC101928429	7.191470532	7.781578287
ZMAT2	8.14839184	7.779938177
NARS	8.295386307	7.778296201
COPS6	7.394891366	7.777310117
MAPRE1	7.254871148	7.775665145
TMEM256	7.016065396	7.772699461
EIF1B	7.974988112	7.771819568
ERGIC3	7.735612433	7.770718946
SLC37A2	6.74281467	7.770608838
UQCR10	7.273018494	7.766308043
EMC7	8.293088412	7.765203207
TOP1	6.806495919	7.763876285
VSIG4	6.610286657	7.763101684
LOC104968399	7.918068145	7.761772828
TCEB2	8.083213368	7.760442746
ATF4	8.314998566	7.757556689
MNDA	7.465430359	7.752993836
