Feature	Log2FC	-logFDR
MX2	2.47	6.85387196432176
LOC105371921	2.47	5.46852108295774
BMP2	2.47	6.52287874528034
ZCCHC5	2.45	5.49485002168009
VMO1	2.45	29.4089353929735
PTPRG	2.44	8.18045606445813
AQP9	2.44	8.49485002168009
SLAMF7	2.43	30.9208187539524
FCRL6	2.43	13.698970004336
CA5A	2.43	5.20760831050175
DAPL1	2.42	5.48148606012211
LOC101928352	2.40	5.67778070526608
NPTXR	2.39	15.9586073148418
GSDMA	2.39	27.267606240177
SLC43A3	2.38	62.6575773191778
SLC2A5	2.38	5.82390874094432
PEG10	2.36	6.18045606445813
BEX1	2.36	4.85387196432176
LOC101929667	2.35	10.3279021420643
VWCE	2.34	9.24412514432751
LOC101929353	2.33	4.88605664769316
LOC105369499	2.32	5.76955107862173
GAPLINC	2.32	65.3872161432803
DBN1	2.32	7.48148606012211
LOC107985217	2.30	15.4202164033832
BPI	2.30	4.61978875828839
ACSS3	2.30	9.42021640338319
MMRN2	2.29	8.61978875828839
LONRF3	2.29	19.6777807052661
ANPEP	2.29	20.7212463990472
CATIP-AS1	2.28	18.9586073148418
ADAMTS14	2.28	5.30102999566398
OAS3	2.27	36.2518119729938
LINC00900	2.27	7.16115090926274
IL2RG	2.27	6.08092190762393
CTSW	2.27	13
KCNE1B	2.26	7.74472749489669
TGM5	2.25	13.0969100130081
WHRN	2.24	4.60205999132796
USP18	2.24	4.82390874094432
LOC107984384	2.24	11.0915149811213
TGM2	2.23	6.1249387366083
LOC107985505	2.23	4.35654732351381
LOC105375905	2.23	4.4089353929735
CRACR2A	2.23	7.05060999335509
PMFBP1	2.22	7.58502665202918
MAPK13	2.22	28.8860566476932
VCX	2.20	4.27572413039921
SIGLEC17P	2.20	8.19382002601611
LINC01272	2.20	15.0915149811213
ADAMDEC1	2.20	5.79588001734407
TPST1	2.19	9.95860731484177
MX1	2.19	5.11350927482752
SATB1-AS1	2.18	4.15490195998574
LOC101928228	2.18	19
EGFL7	2.18	6.09151498112135
CYP19A1	2.18	4.18708664335714
CDCP1	2.18	43.602059991328
SLCO5A1	2.17	24.2365720064371
LOC102723675	2.17	5.11918640771921
TRH	2.16	4.05551732784983
CD300E	2.16	7.36653154442041
IGF2	2.15	4.17392519729917
LUCAT1	2.14	4.21467016498923
LOC100288152	2.13	37.2291479883579
IL24	2.13	18.698970004336
IBSP	2.13	3.95860731484177
LOC107985711	2.12	3.95860731484177
LOC105375743	2.12	8.18045606445813
DLX3	2.12	3.95860731484177
MSC	2.11	3.88605664769316
ECM1	2.11	13.4202164033832
S1PR1	2.10	3.88605664769316
RAMP1	2.10	20.7212463990472
ADD2	2.10	6.1249387366083
SH3BGRL2	2.09	5.34678748622466
HAPLN4	2.09	4.14874165128092
CDC27P10	2.09	3.85387196432176
MFRP	2.08	4.06048074738138
LOC105377043	2.08	3.76955107862173
LOC105371464	2.08	5.33724216831843
C1QTNF5	2.08	4.06048074738138
NECTIN4	2.07	7.61978875828839
ME3	2.07	3.72124639904717
KDR	2.07	3.76955107862173
JPH4	2.07	5.65757731917779
DPYSL3	2.07	7.67778070526608
CATIP	2.07	13.5528419686578
ADM	2.07	9.35654732351381
PTPRS	2.06	3.74472749489669
PKIG	2.06	16.6197887582884
MLC1	2.06	4.67778070526608
LOC105375567	2.06	9.36653154442041
LOC105375021	2.06	4.18045606445813
AKAP6	2.06	25.2924298239021
AGPAT4	2.06	35.431798275933
LOC107985306	2.05	3.79588001734407
GGT1	2.05	8.88605664769316
EDN1	2.05	6.11918640771921
CCRL2	2.05	12.698970004336
RDH12	2.04	8.49485002168009
LRTM2	2.04	3.63827216398241
LOC107984699	2.04	3.65757731917779
LOC102724036	2.03	3.67778070526608
SDC1	2.02	7.36653154442041
LOC107987261	2.02	12.397940008672
LOC105370401	2.02	3.85387196432176
HES1	2.02	5.56863623584101
FCMR	2.02	13.3872161432803
DCSTAMP	2.02	3.58502665202918
VTN	2.01	3.82390874094432
SALL4	2.01	7.60205999132796
PTPRG-AS1	2.01	10.2924298239021
IFI44	2.01	7.67778070526608
C10orf90	2.01	3.52287874528034
FAM20A	2.00	12.1079053973095
CREB3L1	2.00	4.07572071393812
TREM1	1.99	6.52287874528034
STC2	1.99	3.76955107862173
PDE4DIP	1.99	25.2218487496164
IFIT1	1.98	4.11350927482752
IFIT3	1.97	5.17392519729917
PRG2	1.96	3.42021640338319
BEX3	1.96	9.92081875395237
HOXB-AS3	1.95	3.38721614328026
DNMBP	1.95	4.55284196865778
TREML3P	1.94	3.30980391997149
SLC22A18AS	1.94	11.537602002101
NOTCH3	1.94	5.21467016498923
FABP6	1.94	3.42021640338319
MYOZ2	1.92	3.24412514432751
CCL20	1.92	22.1611509092627
GPNMB	1.91	19.301029995664
TCEAL9	1.90	29.1549019599857
SLC22A4	1.90	5.76955107862173
PABPC5	1.90	3.18708664335714
OASL	1.90	3.79588001734407
HIC1	1.90	3.79588001734407
NRP2	1.89	53.0809219076239
LOC100506286	1.89	4.95860731484177
HELZ2	1.89	5.69897000433602
USP2	1.88	3.09691001300806
TSPAN4	1.88	23.8538719643218
PITPNM2	1.88	4.95860731484177
HS3ST1	1.88	9.07572071393812
LOC284240	1.87	3.38721614328026
KCNG1	1.87	3.07058107428571
RGCC	1.86	5.50863830616573
MEPE	1.86	4.24412514432751
MAFF	1.86	17.4685210829577
LOC107985446	1.86	3.08618614761628
CD52	1.86	4.27572413039921
USP41	1.84	3.60205999132796
DNMBP-AS1	1.84	3.95860731484177
EBI3	1.83	10.0457574905607
TSPAN7	1.82	2.92081875395237
SAMD4A	1.82	10.8239087409443
RASGRP1	1.82	5.85387196432176
CTB-113P19.1	1.82	3.79588001734407
LOC105379506	1.81	3.21467016498923
LOC105373347	1.81	3.08092190762393
LOC102725065	1.81	3.29242982390206
RND3	1.80	13.5528419686578
LYPD5	1.80	3.11918640771921
LOC107985986	1.80	3.10790539730952
FBLN2	1.80	4.29242982390206
ADA	1.80	9.29242982390206
LOC728158	1.79	2.85387196432176
LOC105372105	1.79	7.04095860767891
LEF1	1.79	3.14266750356873
FJX1	1.79	10.0315170514461
EHD3	1.79	5.4089353929735
CD3D	1.79	4.0268721464003
CD163	1.79	73.2757241303992
CABP5	1.79	2.82390874094432
TUBB2B	1.78	29.5228787452803
PLA2G4C-AS1	1.78	2.76955107862173
AFAP1L1	1.78	3.46852108295774
RNF150	1.77	3.20065945054642
PLAUR	1.77	22.0409586076789
ITGAD	1.77	6.53760200210104
ISG15	1.77	4.3767507096021
CKAP4	1.77	12.8239087409443
CDHR1	1.77	2.76955107862173
C1orf106	1.77	5.65757731917779
SEMA3G	1.76	5.61978875828839
FUT6	1.76	2.72124639904717
CXCL10	1.76	2.76955107862173
CMBL	1.76	5.26760624017703
ADARB1	1.76	3.69897000433602
AGAP11	1.75	4.88605664769316
ADAM12	1.75	4.85387196432176
SMIM4	1.74	11.698970004336
SIT1	1.74	2.67778070526608
LOC105376505	1.73	3.17392519729917
CTTN	1.73	4.79588001734407
VSIG4	1.72	3.76955107862173
STOX2	1.72	3.61978875828839
RAB3C	1.72	2.61978875828839
OLIG1	1.72	6.88605664769316
LOC102724153	1.72	4.85387196432176
JCHAIN	1.72	21.0555173278498
FLVCR2	1.72	6.14874165128092
DLL4	1.72	2.61978875828839
APOC4	1.72	3.67778070526608
LOC107985155	1.71	2.76955107862173
LEF1-AS1	1.71	2.63827216398241
IQSEC3	1.71	3.49485002168009
GVINP1	1.71	2.88605664769316
CD1B	1.71	13.0809219076239
LINC01506	1.70	2.56863623584101
PRR5	1.69	11.130768280269
MMP9	1.69	13.3872161432803
LOC107985654	1.69	4.32790214206428
CHI3L2	1.69	2.95860731484177
CD109	1.69	3.50863830616573
ASB2	1.69	13.9586073148418
TMEM51-AS1	1.68	4.08092190762393
SULT1B1	1.68	2.95860731484177
MERTK	1.68	11.0409586076789
FAM83G	1.68	5.35654732351381
PDE6B	1.67	12.3872161432803
APOC1P1	1.67	2.53760200210104
ADGRA2	1.67	2.79588001734407
UBXN11	1.66	14.7958800173441
TTC28	1.66	13.6575773191778
MMP1	1.66	2.431798275933
LOC107985489	1.66	3.431798275933
LOC102724168	1.66	2.69897000433602
LOC100506444	1.66	2.65757731917779
FOLR2	1.66	4.0268721464003
EGF	1.66	2.48148606012211
CST7	1.66	25.2146701649892
BATF2	1.66	4.74472749489669
ADAMTS17	1.66	2.48148606012211
PMP22	1.65	8.38721614328026
OBSL1	1.65	2.85387196432176
NRIP3	1.65	3.22914798835786
MIR4260	1.65	2.4089353929735
LOC102723996	1.65	39.4436974992327
IKZF3	1.65	5.20760831050175
IGLON5	1.65	4.74472749489669
IFITM1	1.65	7.30980391997149
CNN3	1.65	3.24412514432751
SEL1L2	1.64	2.55284196865778
LOC105378047	1.64	2.39794000867204
LOC100505798	1.64	5.50863830616573
CADM1	1.64	13.2218487496164
ABCC5-AS1	1.64	2.3767507096021
SNCG	1.63	2.42021640338319
SLC7A2	1.63	3.30102999566398
ATP6V0D2	1.63	2.72124639904717
STARD13	1.62	8.65757731917779
LOC107987279	1.62	2.88605664769316
LOC105379316	1.62	3.67778070526608
LOC105375795	1.62	2.44369749923271
LOC101927942	1.62	5.20065945054642
KAZN	1.62	3.58502665202918
ARMCX1	1.62	9.60205999132796
PIGR	1.61	8.95860731484177
NT5DC2	1.61	22.6777807052661
NR1H3	1.61	17.431798275933
LOC105373430	1.61	2.85387196432176
LOC105369301	1.61	3.45593195564972
LOC105369197	1.61	2.35654732351381
LGI2	1.61	2.85387196432176
HCFC1-AS1	1.61	2.46852108295774
EEPD1	1.61	4.49485002168009
DLC1	1.61	5.29242982390206
ARHGAP8	1.61	2.30102999566398
ALDH5A1	1.61	4.95860731484177
PGA5	1.60	2.85387196432176
LPAR4	1.60	2.79588001734407
GDF15	1.60	2.72124639904717
ANK2	1.60	2.42021640338319
SLC5A10	1.59	3.88605664769316
RNASE3	1.59	2.22184874961636
PDGFRL	1.59	7.04575749056067
KCNE1	1.59	2.63827216398241
SCUBE2	1.58	2.23657200643706
OPTN	1.58	20.3098039199715
LOC107984830	1.58	2.20065945054642
ICOSLG	1.58	21.7958800173441
VNN1	1.57	2.45593195564972
PITPNM3	1.57	3.72124639904717
MORN4	1.57	3.32790214206428
IZUMO1	1.57	2.18708664335714
LMNA	1.56	65.3279021420643
HPSE	1.56	17.0043648054024
ZG16B	1.55	2.13076828026902
TTLL4	1.55	67.6382721639824
SOBP	1.55	2.36653154442041
SMPD5	1.55	5.95860731484177
SH3PXD2B	1.55	25.4814860601221
RNF157	1.55	2.53760200210104
NT5E	1.55	4.56863623584101
LOC101929130	1.55	2.35654732351381
PLPP4	1.54	2.33724216831843
PCDH20	1.54	7.06048074738138
LYVE1	1.54	2.58502665202918
LOC105377472	1.54	2.18045606445813
KCNC4	1.54	30.4436974992327
IFIT2	1.54	2.88605664769316
ICAM1	1.54	17.0132282657338
ETS1	1.54	26.0132282657338
SH2D2A	1.53	5.13667713987954
RNASE2	1.53	2.72124639904717
PLVAP	1.53	2.10790539730952
LOC105375217	1.53	2.30102999566398
LOC101928847	1.53	2.08092190762393
EPAS1	1.53	7.45593195564972
ADTRP	1.53	2.63827216398241
LOC107986752	1.52	6.60205999132796
MANEAL	1.51	2.79588001734407
LOC105369487	1.51	8.01772876696043
CXorf65	1.51	2.01772876696043
BSN	1.51	2.95860731484177
TRPC6	1.50	3.31875876262441
TBC1D2	1.50	10.5228787452803
CLEC2B	1.50	3.31875876262441
CD82	1.50	47.1191864077192
STON1-GTF2A1L	1.49	3.76955107862173
SCIN	1.49	2.06048074738138
MPDZ	1.49	2.58502665202918
MIR3142HG	1.49	8.61978875828839
LOC105378745	1.49	2.09151498112135
GUCY2F	1.49	1.95860731484177
GGT2	1.49	1.95860731484177
CLCNKA	1.49	7.52287874528034
SYT3	1.48	3.20760831050175
SLC18A1	1.48	3.79588001734407
P2RY8	1.48	5.02227639471115
H2AFY2	1.48	8.79588001734407
SLC22A18	1.47	7.72124639904717
PPP1R9A	1.47	7.61978875828839
LOC105374137	1.47	2.06048074738138
LOC105373426	1.47	1.95860731484177
IFITM3	1.47	5.92081875395237
GRIN3A	1.47	2.22184874961636
CCR1	1.47	24
C8orf31	1.47	2.20065945054642
ARHGAP10	1.47	3.95860731484177
TNFRSF11A	1.46	12
SYNPO2L	1.46	2.11350927482752
RAB13	1.46	5.46852108295774
PRKCH	1.46	3.18708664335714
PBX1	1.46	2.46852108295774
NUPR1	1.46	3.16115090926274
MGC20647	1.46	1.95860731484177
LOC105374102	1.46	1.92081875395238
LOC105369312	1.46	2.39794000867204
LOC101927699	1.46	1.88605664769316
C16orf74	1.46	1.92081875395238
TMPRSS13	1.45	3.56863623584101
SLC24A3	1.45	2
RASL11B	1.45	2.60205999132796
PTPN7	1.45	33.7447274948967
NRP1	1.45	3.44369749923271
LOC101927153	1.45	4.48148606012211
LOC101060091	1.45	7.85387196432176
FAT1	1.45	3.35654732351381
DUSP4	1.45	53.0362121726544
CCDC74A	1.45	2.92081875395237
SMAD3	1.44	2.65757731917779
RNF157-AS1	1.44	1.88605664769316
PNKD	1.44	27.0315170514461
PARK2	1.44	2.39794000867204
MIR3648-2	1.44	1.88605664769316
LOC107987223	1.44	1.85387196432176
KLF4	1.44	12.1870866433571
GRB10	1.44	9.85387196432176
CENPV	1.44	3.60205999132796
CD14	1.44	18.267606240177
ARMC9	1.44	3.95860731484177
SDPR	1.43	1.88605664769316
NCAM1	1.43	1.85387196432176
MEI1	1.43	4.18708664335714
LOC105378516	1.43	11.537602002101
GHDC	1.43	17.2006594505464
TMEM119	1.42	2.05551732784983
SLFN5	1.42	48.602059991328
SLC43A1	1.42	2.33724216831843
LOC101927042	1.42	4.30102999566398
CA2	1.42	4.56863623584101
WTAPP1	1.41	1.79588001734408
SECTM1	1.41	2.04575749056067
PGA4	1.41	2.14874165128092
PDE2A	1.41	2.18045606445813
LOC105370492	1.41	2.72124639904717
LOC101927543	1.41	2.25963731050576
INTU	1.41	2.95860731484177
INS-IGF2	1.41	1.76955107862173
PXN	1.40	6.20760831050175
LOC107987293	1.40	1.76955107862173
LOC107986569	1.40	1.74472749489669
LOC105378521	1.40	1.76955107862173
LOC105374148	1.40	1.88605664769316
LINC01451	1.40	4.63827216398241
LDHAL6B	1.40	2.06550154875643
FAM135B	1.40	1.92081875395238
AGT	1.40	4.03621217265444
RGAG4	1.39	3.76955107862173
LOC105374164	1.39	1.76955107862173
LINC01160	1.39	10.7695510786217
CXCL5	1.39	1.74472749489669
CTSA	1.39	31.7447274948967
AGPAT4-IT1	1.39	2.52287874528034
TUBB2A	1.38	16.5850266520292
PYGL	1.38	12.431798275933
LRRC25	1.38	19.0809219076239
LOC101928389	1.38	2.85387196432176
LINC01605	1.38	1.76955107862173
KCNS3	1.38	1.88605664769316
AFF2	1.38	1.76955107862173
PDGFRA	1.37	1.76955107862173
MIR6854	1.37	1.79588001734408
MARCKSL1	1.37	48.4436974992327
ERMP1	1.37	17.3767507096021
ASPHD1	1.37	2.06550154875643
TSPAN15	1.36	11.1739251972992
NCAM1-AS1	1.36	1.74472749489669
MAFB	1.36	2.79588001734407
LPIN3	1.36	6.16115090926274
LBX2-AS1	1.36	3.2839966563652
DNAJC12	1.36	1.65757731917779
DHRS3	1.36	5.82390874094432
CCDC74B	1.36	1.72124639904717
VWF	1.35	1.92081875395238
MTSS1	1.35	2.56863623584101
MGLL	1.35	13.8239087409443
LINC00892	1.35	1.76955107862173
HK3	1.35	2.1249387366083
C2orf91	1.35	7.11918640771921
ASB9	1.35	1.63827216398241
AGR2	1.35	10.7958800173441
ZC3H12A	1.34	9.79588001734407
RUNDC3A	1.34	2.58502665202918
PDYN	1.34	1.60205999132796
LRRC32	1.34	1.67778070526608
LOC107986303	1.34	1.65757731917779
LOC105377395	1.34	2.07058107428571
LOC105375826	1.34	1.67778070526608
LOC101928517	1.34	5.20760831050175
KCNH4	1.34	2.13076828026902
RBP4	1.33	2.60205999132796
LOC105370203	1.33	3.88605664769316
LOC100996724	1.33	2.79588001734407
IFT122	1.33	10.0268721464003
HS3ST3A1	1.33	3.60205999132796
HOXB6	1.33	1.58502665202918
GPC6	1.33	2.72124639904717
ZNF208	1.32	1.56863623584101
TIMP1	1.32	5.72124639904717
SPTBN5	1.32	1.72124639904717
SLC37A1	1.32	3.95860731484177
SLC36A1	1.32	6.4089353929735
SHC2	1.32	1.56863623584101
RTP4	1.32	1.74472749489669
RBP7	1.32	7.23657200643706
PGA3	1.32	1.82390874094432
M1AP	1.32	4.60205999132796
GALNT12	1.32	7.4089353929735
EMILIN3	1.32	3.72124639904717
CD3G	1.32	1.82390874094432
SLC29A4	1.31	3.02227639471115
MYO1E	1.31	3.15490195998574
LOC107986945	1.31	1.53760200210104
LOC105377845	1.31	2.02227639471115
LOC102723741	1.31	1.60205999132796
LOC102467222	1.31	1.82390874094432
TREM2	1.30	13.6777807052661
TRDN	1.30	1.79588001734408
RETN	1.30	7.82390874094432
MR1	1.30	45.8860566476932
LOC644090	1.30	1.60205999132796
LOC105375740	1.30	2.3767507096021
LOC105372935	1.30	1.61978875828839
LOC101927608	1.30	1.53760200210104
ITGB1BP2	1.30	1.95860731484177
CXCR2P1	1.30	1.50863830616573
CRYBB1	1.30	13.3872161432803
TRAF3IP3	1.29	26.9586073148418
RNF180	1.29	1.60205999132796
PLXND1	1.29	4.44369749923271
PAX8-AS1	1.29	1.92081875395238
LOC107984929	1.29	1.63827216398241
LOC105370333	1.29	2.88605664769316
FBXO36	1.29	3.31875876262441
DAB1	1.29	1.61978875828839
CXorf57	1.29	1.60205999132796
C17orf89	1.29	7.08618614761628
SV2A	1.28	1.58502665202918
SUGT1P1	1.28	1.46852108295774
SUCNR1	1.28	11.5528419686578
SNORA92	1.28	2.31875876262441
PILRA	1.28	2.2839966563652
LOC101928813	1.28	1.52287874528034
HIVEP2	1.28	6.85387196432176
CHST3	1.28	1.63827216398241
ADCY3	1.28	2.61978875828839
SVEP1	1.27	1.45593195564972
LOC151475	1.27	3.21467016498923
LOC105374947	1.27	2.32790214206428
LOC105373386	1.27	7.56863623584101
ITPKA	1.27	2.14266750356873
HOXB7	1.27	1.49485002168009
GPBAR1	1.27	2.10790539730952
GAS7	1.27	11.568636235841
GALM	1.27	3.35654732351381
CLEC5A	1.27	2.06048074738138
SLC46A2	1.26	2.74472749489669
OGDHL	1.26	1.45593195564972
LOC100506476	1.26	3.13667713987954
DGAT2	1.26	1.55284196865778
DCHS1	1.26	1.95860731484177
CDK5R1	1.26	3.07058107428571
CD72	1.26	3.48148606012211
AOC1	1.26	5.3767507096021
TPSD1	1.25	1.65757731917779
TBC1D8	1.25	18.7212463990472
LOC439933	1.25	1.52287874528034
WNT9B	1.24	1.3767507096021
SHROOM1	1.24	6.19382002601611
PLEK2	1.24	1.74472749489669
PLCG1	1.24	3.11918640771921
MIR4751	1.24	11.0655015487564
LOC105378482	1.24	1.61978875828839
LOC105375019	1.24	8.69897000433602
LOC101929723	1.24	1.88605664769316
HBEGF	1.24	8.34678748622465
CRISPLD1	1.24	1.39794000867204
CREG2	1.24	1.39794000867204
BOLA3	1.24	3.07058107428571
ASIC1	1.24	1.79588001734408
NENF	1.23	33.8239087409443
MIR6777	1.23	3.67778070526608
MIR6730	1.23	2.69897000433602
LOC107986285	1.23	1.67778070526608
LOC102724850	1.23	5.3767507096021
LOC101929567	1.23	1.85387196432176
LIPA	1.23	9.03151705144606
IL4I1	1.23	4.76955107862173
CST6	1.23	1.39794000867204
CCL1	1.23	1.53760200210104
CABP7	1.23	4.95860731484177
ATP1A4	1.23	1.431798275933
ATP1A2	1.23	1.39794000867204
STON1	1.22	3.67778070526608
PLXNA1	1.22	2.85387196432176
PLAC1	1.22	1.46852108295774
LRRC75B	1.22	1.53760200210104
LOC105375264	1.22	1.38721614328026
LOC105370485	1.22	1.3767507096021
IFI30	1.22	14.8538719643218
FAM20C	1.22	7.30102999566398
CTSL	1.22	4.95860731484177
CNRIP1	1.22	5.22184874961636
CHAC1	1.22	4.58502665202918
CASKIN2	1.22	11.1487416512809
ABLIM1	1.22	2
TNFAIP6	1.21	1.32790214206428
SAMD9L	1.21	3.46852108295774
NOD2	1.21	18.0457574905607
LOC105378305	1.21	2.56863623584101
LOC105377253	1.21	1.31875876262441
LOC102724714	1.21	1.38721614328026
LOC101927668	1.21	1.38721614328026
LHFPL1	1.21	1.32790214206428
ELL2	1.21	6.79588001734407
ARHGEF10	1.21	2.56863623584101
WSCD1	1.20	1.35654732351381
VAV3	1.20	5.45593195564972
S100A12	1.20	6.11918640771921
RABEPK	1.20	3.00436480540245
PODXL2	1.20	1.92081875395238
PLEKHH2	1.20	1.31875876262441
FAAHP1	1.20	1.30102999566398
PCDH19	1.19	1.30102999566398
MRAS	1.19	12.602059991328
MPPED1	1.19	1.2839966563652
KIAA1614	1.19	4.55284196865778
JAKMIP2	1.19	1.49485002168009
HOTAIRM1	1.19	3.05060999335509
C1orf74	1.19	23.5086383061657
MATK	1.18	1.44369749923271
LOC102724488	1.18	1.3767507096021
SLC41A1	1.17	2.09151498112135
RN7SK	1.17	1.30102999566398
PTGES2-AS1	1.17	1.32790214206428
MYOZ1	1.17	2
MIR6762	1.17	1.60205999132796
LOC105379508	1.17	1.29242982390206
LOC105377778	1.17	1.95860731484177
LOC105374796	1.17	3.82390874094432
LOC105370610	1.17	1.49485002168009
LOC100507103	1.17	6.45593195564972
HS3ST4	1.17	3.0268721464003
FAT2	1.17	2.10790539730952
CHI3L1	1.17	4.69897000433602
TTC7B	1.16	19.0222763947112
SMPD1	1.16	18.602059991328
NPY	1.16	1.60205999132796
NEURL1	1.16	1.76955107862173
LOC388780	1.16	1.24412514432751
LOC105370491	1.16	1.22914798835786
ITGA9	1.16	2.22914798835786
HPCAL1	1.16	12.4089353929735
GPX3	1.16	1.67778070526608
FUCA1	1.16	6
CLEC4E	1.16	1.23657200643706
CARD19	1.16	11.5228787452803
APBB1	1.16	1.95860731484177
ST3GAL5-AS1	1.15	1.27572413039921
RAB7B	1.15	4.05060999335509
PNMAL2	1.15	3.21467016498923
MIR155	1.15	1.21467016498923
MCRIP2	1.15	6.88605664769316
FCGR1B	1.15	15.2076083105017
CACNA1A	1.15	1.24412514432751
C1orf122	1.15	13.8860566476932
SLAIN1	1.14	1.34678748622466
RGS4	1.14	1.20760831050175
PTGIR	1.14	16.267606240177
LOC107986777	1.14	1.20760831050175
LOC105376714	1.14	1.20760831050175
LOC105374378	1.14	1.20065945054642
LOC105372412	1.14	1.18708664335714
LOC105369968	1.14	4.18708664335714
HSD17B14	1.14	20.3872161432803
GSTM2P1	1.14	2.25963731050576
GREB1	1.14	1.20760831050175
FOXD2-AS1	1.14	8.74472749489669
FGFBP3	1.14	2.03621217265444
DENND2D	1.14	26
CRYBA4	1.14	5.34678748622466
COCH	1.14	1.88605664769316
C3orf52	1.14	1.26760624017703
ZBTB7C	1.13	1.44369749923271
XAF1	1.13	3.20760831050175
RFX8	1.13	1.20065945054642
LOC107985687	1.13	1.31875876262441
LIPM	1.13	1.24412514432751
KCNIP2	1.13	4.27572413039921
IGSF3	1.13	7.61978875828839
EMP2	1.13	1.19382002601611
CMTM2	1.13	1.4089353929735
CHPF	1.13	6.04575749056067
BICDL2	1.13	1.19382002601611
USP44	1.12	1.16749108729376
TPD52L2	1.12	31.568636235841
TMEM138	1.12	9.55284196865778
RASIP1	1.12	1.52287874528034
PARP10	1.12	10.6575773191778
NMNAT3	1.12	1.63827216398241
LOC107986566	1.12	1.20760831050175
LOC105369370	1.12	5.04575749056067
LOC101928429	1.12	4.2518119729938
